,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,I Wanna Be Yours,AM,Arctic Monkeys,2013-09-09,183956,91,0.136,0.464,0.417,0.022,0.0974,-9.345,0.0256,67.528,4
1,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-27,309600,86,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4
2,Unwritten,Unwritten,Natasha Bedingfield,2004-08-30,259333,88,0.00584,0.706,0.8,0.0,0.0822,-6.333,0.0399,100.011,4
3,Without Me,The Eminem Show,Eminem,2002-05-26,290320,88,0.00286,0.908,0.669,0.0,0.237,-2.827,0.0738,112.238,4
4,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005-11-28,218093,87,0.284,0.778,0.824,0.0,0.405,-5.892,0.0707,100.024,4
5,In the End,Hybrid Theory (Bonus Edition),Linkin Park,2000,216880,87,0.00958,0.556,0.864,0.0,0.209,-5.87,0.0584,105.143,4
6,Yellow,Parachutes,Coldplay,2000-07-10,266773,89,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
7,Mr. Brightside,Hot Fuss,The Killers,2004,222973,87,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,148.033,4
8,Mockingbird,Encore (Deluxe Version),Eminem,2004-11-12,250760,86,0.209,0.637,0.678,0.0,0.156,-3.798,0.266,84.039,4
9,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010-12-01,216773,85,0.185,0.673,0.886,0.0,0.0826,-4.44,0.0431,97.012,4
10,Seven Nation Army,Elephant,The White Stripes,2003-04-01,232106,85,0.0039,0.743,0.446,0.118,0.337,-7.807,0.0683,123.596,4
11,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008-05-26,242373,87,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
12,How You Remind Me,Silver Side Up,Nickelback,2001-09-11,223840,85,0.00135,0.446,0.764,0.0,0.099,-5.042,0.033,172.094,4
13,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,86,0.0302,0.949,0.661,0.0,0.0454,-4.244,0.0572,104.504,4
14,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),USHER,2004-03-23,250373,85,0.0183,0.894,0.791,0.0,0.0388,-4.699,0.112,105.018,4
15,Feel Good Inc.,Demon Days,Gorillaz,2005-05-23,222640,85,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,4
16,Numb,Meteora,Linkin Park,2003-09-16,187520,85,0.00353,0.488,0.87,0.0,0.484,-4.185,0.0421,110.072,4
17,Toxic,In The Zone,Britney Spears,2003-11-13,198800,85,0.0249,0.774,0.838,0.025,0.242,-3.914,0.114,143.04,4
18,Smack That,Konvicted,Akon,2006-01-01,212360,84,0.323,0.939,0.741,0.0,0.107,-5.171,0.0471,118.978,4
19,Sex on Fire,Only By The Night,Kings of Leon,2008-09-23,203346,84,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,153.398,4
20,Can't Stop,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,269000,84,0.0179,0.618,0.938,0.0,0.167,-3.442,0.0456,91.455,4
21,Heartless,808s & Heartbreak,Kanye West,2008-11-24,211000,84,0.0515,0.79,0.647,0.0,0.248,-5.983,0.136,87.999,4
22,Sparks,Parachutes,Coldplay,2000-07-10,227093,84,0.748,0.371,0.268,0.0517,0.104,-10.506,0.0281,102.617,3
23,TiK ToK,Animal (Expanded Edition),Kesha,2010-01-01,199693,84,0.0991,0.755,0.837,0.0,0.289,-2.718,0.142,120.028,4
24,Till I Collapse,The Eminem Show,Eminem,2002-05-26,297786,84,0.0622,0.548,0.847,0.0,0.0816,-3.237,0.186,171.447,4
25,Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,235213,83,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,79.526,4
26,Flashing Lights,Graduation,Kanye West,2007-09-11,237506,83,0.0381,0.639,0.628,0.0,0.386,-7.578,0.0398,90.482,4
27,Bring Me To Life,Fallen,Evanescence,2003-03-04,235893,83,0.00721,0.331,0.943,2.06e-06,0.242,-3.188,0.0698,94.612,4
28,Promiscuous,Loose,Nelly Furtado,2006-01-01,242293,83,0.0573,0.808,0.97,6.17e-05,0.154,-6.098,0.0504,114.328,4
29,Murder On The Dancefloor,Read My Lips (Deluxe Version),Sophie Ellis-Bextor,2002-06-06,230013,83,0.00234,0.73,0.849,2.57e-05,0.312,-5.281,0.0299,117.308,4
30,Gasolina,Barrio Fino (Bonus Track Version),Daddy Yankee,2004-07-13,192600,83,0.322,0.852,0.797,2.69e-06,0.0845,-6.543,0.0614,96.008,4
31,Ms. Jackson,Stankonia,Outkast,2000-10-31,270506,83,0.143,0.843,0.806,0.0,0.0771,-5.946,0.269,94.948,4
32,This Love,Songs About Jane: 10th Anniversary Edition,Maroon 5,2002,206200,83,0.0525,0.712,0.862,0.0,0.093,-4.612,0.0378,95.051,4
33,Bad Romance,The Fame Monster (Deluxe Edition),Lady Gaga,2009-11-05,294573,82,0.00314,0.695,0.921,5.26e-05,0.0842,-3.752,0.0363,119.007,4
34,The Middle,Bleed American,Jimmy Eat World,2001-07-17,165853,82,0.0371,0.643,0.849,0.0,0.058,-5.428,0.0526,162.152,4
35,Fix You,X&Y,Coldplay,2005-06-07,295533,82,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,138.178,4
36,Back To Black,Back To Black (Deluxe Edition),Amy Winehouse,2006,241293,82,0.134,0.434,0.422,2.05e-05,0.0861,-13.964,0.0375,123.201,4
37,Complicated,Let Go,Avril Lavigne,2002-06-04,244506,82,0.0572,0.585,0.776,7.74e-06,0.3,-5.898,0.0459,77.987,4
38,Maneater,Loose,Nelly Furtado,2006-01-01,258893,82,0.0258,0.796,0.778,0.000386,0.121,-4.81,0.0397,132.724,4
39,The Way I Are,Shock Value,Timbaland,2007-01-01,179120,82,0.181,0.729,0.807,0.75,0.319,-6.492,0.0936,114.742,4
40,Dile,The Last Don,Don Omar,2003-01-01,204600,82,0.186,0.822,0.713,0.00013,0.0431,-7.501,0.122,94.034,4
41,If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,2003-12-02,228706,82,0.603,0.609,0.444,6.86e-06,0.104,-9.129,0.106,118.402,3
42,Take Me Out,Franz Ferdinand,Franz Ferdinand,2004-02-16,237026,82,0.000409,0.277,0.663,0.00051,0.136,-8.821,0.0377,104.561,4
43,Superman,The Eminem Show,Eminem,2002-05-26,350320,82,0.0215,0.802,0.755,0.0,0.295,-3.138,0.0564,130.027,4
44,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,2008-06-17,177826,82,0.00428,0.55,0.917,0.0,0.197,-3.159,0.0638,126.115,4
45,Valerie (feat. Amy Winehouse) - Version Revisited,Version,Mark Ronson,2007-04-16,219413,82,0.00243,0.699,0.83,0.00024,0.0995,-4.898,0.0633,105.809,4
46,Low (feat. T-Pain),Mail on Sunday,Flo Rida,2008-03-17,231400,82,0.0928,0.918,0.609,0.0,0.139,-5.64,0.0791,128.008,4
47,Duvet,Twilight,bôa,2010-04-20,203600,82,0.191,0.583,0.888,4.58e-05,0.0936,-9.414,0.0349,93.206,4
48,Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,2001-03-27,259933,82,0.153,0.481,0.638,0.0,0.154,-5.862,0.0276,79.064,4
49,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Black Eyed Peas,2009-01-01,289133,81,0.0873,0.744,0.766,0.0,0.509,-6.375,0.0265,127.966,4
